files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=1.76 s (985.1 files/s, 219754.2 lines/s)"
913,Python,34202,34796,139714
260,Markdown,13795,0,48062
106,TypeScript,2200,843,20707
119,JSON,13,0,20433
26,HTML,1991,149,14850
59,YAML,1453,443,12014
65,JSX,874,80,10346
77,Bourne Shell,2191,1537,10305
60,JavaScript,1385,1860,7579
9,SQL,218,233,1528
6,CSS,97,36,473
14,Dockerfile,170,127,319
2,Bourne Again Shell,22,26,121
1,ASP.NET,23,0,109
1,make,25,2,85
2,INI,18,0,68
2,Gradle,4,0,54
2,Java,9,12,28
1,TOML,4,0,25
3,SVG,5,7,24
1,XML,3,0,22
1729,SUM,58702,40151,286866
